Date,Sample,Concentration,AZ addition time (min),Position,N1,N2,dNk,Anaphase onset (min)
20210906,1,,no Mps1i,0,46,46,0,
20210906,1,,no Mps1i,1,46,46,0,36
20210906,1,,no Mps1i,3,46,46,0,
20210906,1,,no Mps1i,5,46,46,0,43
20210906,1,,no Mps1i,7,46,46,0,44
20210906,1,,no Mps1i,8,46,46,0,45
20210906,1,,no Mps1i,9,46,46,0,33
20210906,1,,no Mps1i,11,46,46,0,
20210906,1,,no Mps1i,12,46,46,0,44
20210906,1,,no Mps1i,13,46,46,0,37
20210906,1,,no Mps1i,17,46,46,0,35
20210906,1,,no Mps1i,18,46,46,0,37
20210906,1,,no Mps1i,21,46,46,0,27
20210906,1,,no Mps1i,22,46,46,0,46
20210906,1,,no Mps1i,23,can't analyze,,#VALUE!,34
20210906,1,,no Mps1i,25,46,46,0,40
20210906,1,,no Mps1i,26,46,46,0,31
20210906,1,,no Mps1i,27,46,46,0,39
20210906,1,,no Mps1i,28,46,46,0,37
20210906,1,,no Mps1i,29,46,46,0,41
20210906,1,,no Mps1i,30,46,46,0,29
20210906,1,,no Mps1i,31,45,47,2,34
20210906,1,,no Mps1i,32,can't analyze,,#VALUE!,34
20210906,1,,no Mps1i,34,46,46,0,41
20210906,1,,no Mps1i,35,46,46,0,39
20210906,2,,30 min,0,46,46,0,38
20210906,2,,30 min,6,46,46,0,40
20210906,2,,30 min,7,39,53,14,42
20210906,2,,30 min,9,46,46,0,39
20210906,2,,30 min,13,46,46,0,36
20210906,2,,30 min,14,45,47,2,43
20210906,2,,30 min,18,46,46,0,41
20210906,2,,30 min,19,46,46,0,39
20210906,2,,30 min,22,46,46,0,36
20210906,2,,30 min,23,46,46,0,
20210906,2,,30 min,27,46,46,0,45
20210906,2,,30 min,28,46,46,0,41
20210906,2,,30 min,31,46,46,0,35
20210906,2,,30 min,32,46,46,0,41
20210906,2,,30 min,33,46,46,0,37
20210906,2,,30 min,35,46,46,0,41
20210906,2,,30 min,37,46,46,0,37
20210906,2,,30 min,38,49,43,6,44
20210906,3,,25 min,3,46,46,0,38
20210906,3,,25 min,4,46,46,0,39
20210906,3,,25 min,6,46,46,0,41
20210906,3,,25 min,7,46,46,0,38
20210906,3,,25 min,7-bot,47,45,2,38
20210906,3,,25 min,12,46,46,0,30
20210906,3,,25 min,14,46,46,0,
20210906,3,,25 min,15,44,48,4,
20210906,3,,25 min,17,49,43,6,35
20210906,3,,25 min,19,43,49,6,35
20210906,3,,25 min,20,46,46,0,38
20210906,3,,25 min,23,49,43,6,35
20210906,3,,25 min,25,46,46,0,34
20210906,3,,25 min,26,46,46,0,37
20210906,3,,25 min,27,46,46,0,39
20210906,3,,25 min,27-bot,48,44,4,39
20210906,3,,25 min,28,45,47,2,36
20210906,3,,25 min,31,46,46,0,39
20210906,3,,25 min,34,45,47,2,39
20210906,3,,25 min,38,45,47,2,39
20210906,4,,20 min,0,49,43,6,36
20210906,4,,20 min,11,48,44,4,35
20210906,4,,20 min,23,46,46,0,29?
20210906,4,,20 min,23-top,46,46,0,29?
20210906,4,,20 min,27,38,54,16,33
20210906,4,,20 min,31,45,47,2,32
20210906,4,,20 min,32,43,49,6,32
20210906,4,,20 min,35,45,47,2,35
20210906,4,,20 min,36,51,41,10,33
20210906,5,,15 min,1,49,43,6,31
20210906,5,,15 min,9,46,46,0,27
20210906,5,,15 min,15,45,47,2,30
20210906,5,,15 min,17,44,48,4,30
20210906,5,,15 min,18,53,39,14,33
20210906,5,,15 min,19,43,49,6,26
20210906,5,,15 min,21,46,46,0,28
20210906,5,,15 min,22,50,42,8,32
20210906,5,,15 min,27,47,45,2,32
20210906,5,,15 min,28,12,70,58,
20210906,5,,15 min,32-bot,47,45,2,28
20210906,5,,15 min,32,46,46,0,26
20210906,5,,15 min,34,44,48,4,33
20210906,5,,15 min,36,41,51,10,31
20210906,5,,15 min,37,39,53,14,34
20210906,6,,10 min,1,38,54,16,34
20210906,6,,10 min,11,28,64,36,
20210906,6,,10 min,14,50,42,8,29
20210906,6,,10 min,32,46,46,0,29
20210909,1,,no Mps1i,1,46,46,0,46
20210909,1,,no Mps1i,2,46,46,0,43
20210909,1,,no Mps1i,3,45,47,2,39
20210909,1,,no Mps1i,4,46,46,0,30
20210909,1,,no Mps1i,5,46,46,0,28
20210909,1,,no Mps1i,6,46,46,0,28
20210909,1,,no Mps1i,7,46,46,0,33
20210909,1,,no Mps1i,8,46,46,0,41
20210909,1,,no Mps1i,9,46,46,0,27
20210909,1,,no Mps1i,10,46,46,0,33
20210909,1,,no Mps1i,11,46,46,0,31
20210909,1,,no Mps1i,13,46,46,0,30
20210909,1,,no Mps1i,14,46,46,0,30
20210909,1,,no Mps1i,15,46,46,0,32
20210909,1,,no Mps1i,16,46,46,0,39
20210909,1,,no Mps1i,17,46,46,0,25
20210909,1,,no Mps1i,18,46,46,0,31
20210909,1,,no Mps1i,19,46,46,0,48
20210909,1,,no Mps1i,20,46,46,0,36
20210909,1,,no Mps1i,22,46,46,0,36
20210909,1,,no Mps1i,23,46,46,0,35
20210909,1,,no Mps1i,28,45,47,2,34
20210909,1,,no Mps1i,30,46,46,0,27
20210909,1,,no Mps1i,32,46,46,0,35
20210909,1,,no Mps1i,33,46,46,0,38
20210909,2,,30 min,5,46,46,0,30
20210909,2,,30 min,6,43,49,6,
20210909,2,,30 min,7-left,45,47,2,39
20210909,2,,30 min,7,46,46,0,40
20210909,2,,30 min,8,46,46,0,35
20210909,2,,30 min,10,46,46,0,34
20210909,2,,30 min,11,46,46,0,39
20210909,2,,30 min,16,46,46,0,44
20210909,2,,30 min,17-bot,46,46,0,38
20210909,2,,30 min,17,46,46,0,44
20210909,2,,30 min,19,47,45,2,
20210909,2,,30 min,20,46,46,0,32
20210909,2,,30 min,21,46,46,0,
20210909,2,,30 min,22,46,46,0,37
20210909,2,,30 min,23,46,46,0,36
20210909,2,,30 min,25,46,46,0,34
20210909,2,,30 min,26,46,46,0,43
20210909,2,,30 min,27,45,47,2,36
20210909,2,,30 min,28,46,46,0,44
20210909,2,,30 min,29,52,40,12,40
20210909,2,,30 min,31,45,47,2,33
20210909,2,,30 min,36,46,46,0,43
20210909,3,,25 min,1,50,42,8,40
20210909,3,,25 min,4,46,46,0,37
20210909,3,,25 min,5,44,48,4,
20210909,3,,25 min,6,46,46,0,32
20210909,3,,25 min,7,44,48,4,34
20210909,3,,25 min,9,47,45,2,35
20210909,3,,25 min,20,45,47,2,33
20210909,3,,25 min,22,49,43,6,35
20210909,3,,25 min,25,47,45,2,35
20210909,3,,25 min,26,47,45,2,
20210909,3,,25 min,28,47,45,2,38
20210909,3,,25 min,29,45,47,2,32
20210909,3,,25 min,34,46,46,0,35
20210909,3,,25 min,35,46,46,0,37
20210909,4,,20 min,0,47,45,2,32
20210909,4,,20 min,3,48,44,4,34
20210909,4,,20 min,14,46,46,0,34
20210909,4,,20 min,30,49,43,6,35
20210909,4,,20 min,31,45,47,2,35
20210909,4,,20 min,35,46,46,0,
20210911,4,,15 min,1,49,43,6,41
20210911,4,,15 min,3,44,48,4,33
20210911,4,,15 min,4,46,46,0,30
20210911,4,,15 min,5,47,45,2,39
20210911,4,,15 min,5-left,45,47,2,30
20210911,4,,15 min,6,46,46,0,30
20210911,4,,15 min,8-top,50,42,8,
20210911,4,,15 min,8,44,48,4,
20210911,4,,15 min,9,45,47,2,
20210911,4,,15 min,10,46,46,0,42
20210911,4,,15 min,11,43,49,6,31
20210911,4,,15 min,13,45,47,2,32
20210911,4,,15 min,14,44,48,4,37
20210911,4,,15 min,15-top,45,47,2,
20210911,4,,15 min,15,44,48,4,
20210911,4,,15 min,16,42,50,8,31
20210911,4,,15 min,17,45,47,2,36
20210911,4,,15 min,18,43,49,6,44
20210911,4,,15 min,20,46,46,0,
20210911,4,,15 min,20-top,45,47,2,
20210911,4,,15 min,21,45,47,2,43
20210911,4,,15 min,22,46,46,0,
20210911,4,,15 min,24,46,46,0,45
20210911,4,,15 min,25,48,44,4,34
20210911,4,,15 min,26,43,49,6,24
20210911,4,,15 min,29,45,47,2,40
20210911,4,,15 min,30,45,47,2,
20210911,4,,15 min,31,46,46,0,
20210911,4,,15 min,32,46,46,0,41
20210911,4,,15 min,33,46,46,0,
20210911,4,,15 min,33-top,45,47,2,
20210911,5,,10 min,2,48,44,4,25
20210911,5,,10 min,12,51,41,10,30
20210911,5,,10 min,13,51,41,10,28
20210911,5,,10 min,14,52,40,12,26
20210911,5,,10 min,17,2,90,88,
20210911,5,,10 min,24,45,47,2,27
20210911,5,,10 min,26,8,84,76,
20210911,5,,10 min,28,52,40,12,23
20210911,5,,10 min,29,5,87,82,
20210911,5,,10 min,30,47,45,2,25
20210911,5,,10 min,36,46,46,0,25
20210911,5,,10 min,37,29,63,34,
20210911,6,,5 min,1,35,57,22,19
20210911,6,,5 min,2,39,53,14,22
20210911,6,,5 min,5,44,48,4,21
20210911,6,,5 min,32,31,61,30,
20210911,6,,5 min,35,12,80,68,
20211004,1,,20 min,0,46,46,0,31
20211004,1,,20 min,1,45,47,2,32
20211004,1,,20 min,2,46,46,0,33
20211004,1,,20 min,3,45,47,2,37
20211004,1,,20 min,4,45,47,2,27
20211004,1,,20 min,5,46,46,0,35
20211004,1,,20 min,6,46,46,0,35
20211004,1,,20 min,7,46,46,0,32
20211004,1,,20 min,8,46,46,0,37
20211004,1,,20 min,8-right,46,46,0,30
20211004,1,,20 min,9,47,45,2,36
20211004,1,,20 min,9,46,46,0,36
20211004,1,,20 min,12,45,47,2,35
20211004,1,,20 min,13,46,46,0,35
20211004,1,,20 min,14,50,42,8,34
20211004,1,,20 min,15,46,46,0,32
20211004,1,,20 min,16,46,46,0,36
20211004,1,,20 min,18,46,46,0,
20211004,1,,20 min,19,46,46,0,24
20211004,1,,20 min,20,47,45,2,23
20211004,1,,20 min,21,45,47,2,22
20211004,1,,20 min,22,51,41,10,23
20211004,1,,20 min,23,45,47,2,23
20211004,1,,20 min,24,46,46,0,20
20211004,1,,20 min,25,45,47,2,21
20211004,1,,20 min,26,46,46,0,22
20211004,1,,20 min,28,46,46,0,21
20211004,1,,20 min,30,46,46,0,17
20211004,1,,20 min,33,45,47,2,17
20211004,1,,20 min,35,48,44,4,23
20211004,1,,20 min,38,43,49,6,26
20211004,1,,20 min,39,45,47,2,16
20211004,1,,20 min,40,43,49,6,23
20211004,1,,20 min,40-top,45,47,2,
20211004,1,,20 min,41,46,46,0,24
20211004,1,,20 min,42,45,47,2,20
20211004,1,,20 min,43,46,46,0,25
20211004,1,,20 min,44,46,46,0,26
20211004,2,,10 min,0,43,49,6,
20211004,2,,10 min,1,42,50,8,26
20211004,2,,10 min,4,38,54,16,31
20211004,2,,10 min,5,50,42,8,26
20211004,2,,10 min,6,52,40,12,
20211004,2,,10 min,7,45,47,2,26
20211004,2,,10 min,8,40,52,12,
20211004,2,,10 min,11,46,46,0,25
20211004,2,,10 min,12,45,47,2,26
20211004,2,,10 min,14,44,48,4,25
20211004,2,,10 min,17,25,67,42,27
20211004,2,,10 min,22,50,42,8,24
20211004,2,,10 min,23,46,46,0,28
20211004,2,,10 min,24,50,42,8,26
20211004,2,,10 min,27,53,39,14,31
20211004,2,,10 min,30,43,49,6,25
20211004,2,,10 min,30-bot,45,47,2,
20211004,2,,10 min,32,45,47,2,29
20211004,2,,10 min,33,37,55,18,29
20211004,2,,10 min,34,44,48,4,26
20211004,2,,10 min,36,18,74,56,
20211004,2,,10 min,37,42,50,8,30
20211004,2,,10 min,39,44,48,4,28
20211004,2,,10 min,41,46,46,0,28
20211004,2,,10 min,42,45,47,2,29
20211004,3,,5 min,0,43,49,6,
20211004,3,,5 min,3,13,79,66,22
20211004,3,,5 min,6,51,41,10,
20211004,3,,5 min,7,44,48,4,
20211004,3,,5 min,8,12,70,58,
20211004,3,,5 min,9,44,48,4,
20211004,3,,5 min,10,54,38,16,23
20211004,3,,5 min,13,38,54,16,20
20211004,3,,5 min,16,45,47,2,26
20211004,3,,5 min,17,44,48,4,
20211004,3,,5 min,19,49,43,6,20
20211004,3,,5 min,21,46,46,0,
20211004,3,,5 min,22,1,91,90,
20211004,3,,5 min,23,53,39,14,21
20211004,3,,5 min,24,43,49,6,24
20211004,3,,5 min,25,35,57,22,24
20211004,3,,5 min,29,16,76,60,
20211004,3,,5 min,30,31,61,30,
20211004,3,,5 min,32,49,43,6,25
20211004,3,,5 min,33,39,53,14,
20211004,3,,5 min,36,19,73,54,
20211004,3,,5 min,38,38,54,16,22
20211004,4,,10 min,22,51,41,10,
20211004,4,,10 min,30,48,44,4,
20211004,4,,10 min,38,48,44,4,
20211008,1,,10 min,1,46,46,0,23
20211008,1,,10 min,2,11,81,70,
20211008,1,,10 min,3,52,40,12,27
20211008,1,,10 min,5,47,45,2,28
20211008,1,,10 min,6,41,51,10,26
20211008,1,,10 min,7,44,48,4,26
20211008,1,,10 min,9,45,47,2,27
20211008,1,,10 min,10,44,48,4,30
20211008,1,,10 min,11,46,46,0,28
20211008,1,,10 min,12,43,49,6,30
20211008,1,,10 min,14,46,46,0,24
20211008,1,,10 min,15,46,46,0,26
20211008,1,,10 min,16,46,46,0,26
20211008,1,,10 min,17,46,46,0,27
20211008,1,,10 min,18,49,43,6,24
20211008,1,,10 min,18-left,45,47,2,21
20211008,1,,10 min,19,45,47,2,26
20211008,1,,10 min,20,45,47,2,23
20211008,1,,10 min,22,44,48,4,23
20211008,1,,10 min,23,43,49,6,27
20211008,1,,10 min,24,43,49,6,22
20211008,1,,10 min,25,49,43,6,25
20211008,1,,10 min,26,43,49,6,30
20211008,1,,10 min,27,45,47,2,29
20211008,1,,10 min,28,44,48,4,22
20211008,1,,10 min,30,39,53,14,25
20211008,1,,10 min,31,40,52,12,25
20211008,1,,10 min,32,45,47,2,25
20211008,1,,10 min,33,46,46,0,28
20211008,1,,10 min,34,44,48,4,25
20211008,1,,10 min,35,44,48,4,26
20211008,1,,10 min,36,47,45,2,27
20211008,1,,10 min,37,42,50,8,28
20211008,1,,10 min,38,47,45,2,25
20211008,1,,10 min,40,47,45,2,27
20211008,1,,10 min,42,49,43,6,24
20211008,1,,10 min,43,35,57,22,27
20211008,1,,10 min,44,45,47,2,27
20211008,2,,5 min,1,45,47,2,23
20211008,2,,5 min,2,32,60,28,16
20211008,2,,5 min,2-top,49,43,6,
20211008,2,,5 min,3,34,58,24,19
20211008,2,,5 min,4,37,55,18,20
20211008,2,,5 min,7,47,45,2,19
20211008,2,,5 min,8,44,48,4,16
20211008,2,,5 min,10,36,56,20,
20211008,2,,5 min,11,49,43,6,16
20211008,2,,5 min,14,47,45,2,22
20211008,2,,5 min,17,46,46,0,22
20211008,2,,5 min,19,42,50,8,23
20211008,2,,5 min,20,37,55,18,19
20211008,2,,5 min,21,46,46,0,20
20211008,2,,5 min,22,43,49,6,22
20211008,2,,5 min,25,42,50,8,19
20211008,2,,5 min,26,40,52,12,21
20211008,2,,5 min,27,42,50,8,15
20211008,2,,5 min,28,50,42,8,19
20211008,2,,5 min,29,47,45,2,23
20211008,2,,5 min,30,50,42,8,23
20211008,2,,5 min,32,41,51,10,19
20211008,2,,5 min,33,45,47,2,21
20211008,2,,5 min,36,45,47,2,20
20211008,2,,5 min,37,45,47,2,17
20211008,2,,5 min,39,40,52,12,18
20211008,2,,5 min,40,40,52,12,24
20211008,2,,5 min,42,45,47,2,22
20211008,2,,5 min,43,44,48,4,20
20211008,2,,5 min,45,49,43,6,15
20211008,3,,15 min,0,44,48,4,25
20211008,3,,15 min,6,45,47,2,30
20211008,3,,15 min,7,44,48,4,35
20211008,3,,15 min,8,38,54,16,28
20211008,3,,15 min,9,41,51,10,31
20211008,3,,15 min,11,51,41,10,31
20211008,3,,15 min,15,47,45,2,32
20211008,3,,15 min,16,24,68,44,
20211008,3,,15 min,19,47,45,2,33
20211008,3,,15 min,22,48,44,4,27
20211008,3,,15 min,27,46,46,0,29
20211008,3,,15 min,30,46,46,0,27
20211008,3,,15 min,32,37,55,18,30
20211008,3,,15 min,33,48,44,4,33
20211008,3,,15 min,34,45,47,2,30
20211008,3,,15 min,35,51,41,10,30
20211008,3,,15 min,36,47,45,2,32
20211008,3,,15 min,37,45,47,2,33
20211008,3,,15 min,38,46,46,0,36
20211008,3,,15 min,40,46,46,0,29
20211008,3,,15 min,47,47,45,2,31
20211008,3,,15 min,50,26,66,40,32
20211008,3,,15 min,51,45,47,2,28
20211008,3,,15 min,55,44,48,4,32
20211011,2,,10 min,0,46,46,0,18
20211011,2,,10 min,3,46,46,0,26
20211011,2,,10 min,4,42,50,8,22
20211011,2,,10 min,5,45,47,2,19
20211011,2,,10 min,6,47,45,2,17
20211011,2,,10 min,7,46,46,0,20
20211011,2,,10 min,8,47,45,2,19
20211011,2,,10 min,9,53,39,14,26
20211011,2,,10 min,11,45,47,2,18
20211011,3,,5 min,0,35,57,22,21
20211011,3,,5 min,2,46,46,0,21
20211011,3,,5 min,5,53,39,14,18
20211011,3,,5 min,6,45,47,2,23
20211011,3,,5 min,7,90,2,88,
20211011,3,,5 min,8,42,50,8,22
20211011,3,,5 min,9,51,41,10,20
20211011,3,,5 min,11,50,42,8,25
20211011,3,,5 min,12,43,49,6,26
20211011,3,,5 min,13,41,51,10,22
20211011,3,,5 min,14,36,56,20,25
20211011,3,,5 min,14-top,43,49,6,21
20211011,3,,5 min,15,43,49,6,22
20211011,3,,5 min,16,50,42,8,22
20211011,3,,5 min,18,16,76,60,
20211011,3,,5 min,19,38,54,16,19
20211011,3,,5 min,22,56,36,20,20
20211011,3,,5 min,23,39,53,14,24
20211011,3,,5 min,25,52,40,12,
20211011,3,,5 min,26,35,57,22,
20211011,3,,5 min,28,45,47,2,19
20211011,3,,5 min,30,22,70,48,
20211011,3,,5 min,36,41,51,10,
20211011,3,,5 min,39,39,53,14,20
20211011,3,,5 min,41,44,48,4,20
20211011,3,,5 min,42,45,47,2,21
20211011,3,,5 min,44,50,42,8,22
20211011,3,,5 min,45,46,46,0,
20211011,4,,10 min,0,36,56,20,
20211011,4,,10 min,1,40,52,12,20
20211011,4,,10 min,3,47,45,2,24
20211011,4,,10 min,4,38,54,16,24
20211011,4,,10 min,5,42,50,8,25
20211011,4,,10 min,6,42,50,8,27
20211011,4,,10 min,9,47,45,2,27
20211011,4,,10 min,13,40,52,12,24
20211011,4,,10 min,14,48,44,4,23
20211011,4,,10 min,15,48,44,4,27
20211011,4,,10 min,16,47,45,2,26
20211011,4,,10 min,17,44,48,4,26
20211011,4,,10 min,19,28,64,36,
20211011,4,,10 min,20,49,43,6,23
20211011,4,,10 min,21,48,44,4,24
20211011,4,,10 min,22,39,53,14,27
20211011,4,,10 min,23,38,54,16,29
20211011,4,,10 min,24,45,47,2,27
20211011,4,,10 min,26,14,78,64,
20211011,4,,10 min,29,32,60,28,
20211011,4,,10 min,31,48,44,4,26
20211011,4,,10 min,35,45,47,2,28
20211011,4,,10 min,39,45,47,2,25
20211011,4,,10 min,40,36,56,20,26
20211011,4,,10 min,41,12,70,58,
20211011,4,,10 min,42,45,47,2,24
20211011,4,,10 min,43,46,46,0,21
20211011,4,,10 min,44,43,49,6,26
20211011,1,,no Mps1i,0,46,46,0,33
20211011,1,,no Mps1i,1,46,46,0,32
20211011,1,,no Mps1i,3,46,46,0,33
20211011,1,,no Mps1i,5,46,46,0,42
20211011,1,,no Mps1i,6,46,46,0,36
20211011,1,,no Mps1i,7,46,46,0,45
20211011,1,,no Mps1i,8,46,46,0,30
20211011,1,,no Mps1i,9,46,46,0,36
20211011,1,,no Mps1i,10,can't analyze,,#VALUE!,46
20211011,1,,no Mps1i,11,46,46,0,30
20211011,1,,no Mps1i,12,46,46,0,35
20211011,1,,no Mps1i,13,46,46,0,32
20211011,1,,no Mps1i,16,46,46,0,36
20211011,1,,no Mps1i,17,46,46,0,29
20211011,1,,no Mps1i,18,46,46,0,30
20211011,1,,no Mps1i,19,46,46,0,31
20211011,1,,no Mps1i,20,46,46,0,36
20211011,1,,no Mps1i,21,46,46,0,33
20211011,1,,no Mps1i,22-top,46,46,0,30
20211011,1,,no Mps1i,22,46,46,0,36
20211011,1,,no Mps1i,23,46,46,0,45
20211011,1,,no Mps1i,24,46,46,0,29
20211011,1,,no Mps1i,25,46,46,0,33
20211011,1,,no Mps1i,27,46,46,0,33
20211011,1,,no Mps1i,28,46,46,0,29
20211011,1,,no Mps1i,29,46,46,0,41
20211011,1,,no Mps1i,30,46,46,0,46
20211011,1,,no Mps1i,30-bot,46,46,0,38
20211011,1,,no Mps1i,31,46,46,0,34
20211213,1,,10 min,2,37,53,16,25
20211213,1,,10 min,3,40,52,12,21
20211213,1,,10 min,4,45,47,2,23
20211213,1,,10 min,6,47,45,2,22
20211213,1,,10 min,7,41,51,10,22
20211213,1,,10 min,8,43,49,6,22
20211213,1,,10 min,12,43,49,6,25
20211213,1,,10 min,16,51,41,10,20
20211213,1,,10 min,20,52,40,12,24
20211213,1,,10 min,21,46,46,0,23
20211213,1,,10 min,23,41,51,10,24
20211213,1,,10 min,28,36,56,20,23
20211213,1,,10 min,29,45,47,2,23
20211213,1,,10 min,32,28,64,36,23
20211213,1,,10 min,35,29,63,34,21
20211213,1,,10 min,36,46,46,0,21
20211213,1,,10 min,40,48,44,4,24
20211213,1,,10 min,41,41,51,10,26
20211213,1,,10 min,44,37,55,18,25
20211213,2,,5 min,1,42,50,8,19
20211213,2,,5 min,4,46,46,0,19
20211213,2,,5 min,5,40,52,12,16
20211213,2,,5 min,10,44,48,4,15
20211213,2,,5 min,13,43,49,6,19
20211213,2,,5 min,15,47,45,2,19
20211213,2,,5 min,17,44,48,4,22
20211213,2,,5 min,19,37,55,18,19
20211213,2,,5 min,28,44,48,4,15
20211213,2,,5 min,30,22,70,48,21
20211213,2,,5 min,31,48,44,4,18
20211213,2,,5 min,33,37,55,18,21
20211213,2,,5 min,34,43,49,6,20
20211213,2,,5 min,36,48,44,4,
20220609,2,,30 min,0,46,46,0,29
20220609,2,,30 min,1,47,45,2,39
20220609,2,,30 min,2,46,46,0,32
20220609,2,,30 min,7,46,46,0,38
20220609,2,,30 min,8,46,46,0,28
20220609,2,,30 min,9,46,46,0,37
20220609,2,,30 min,11,47,45,2,36
20220609,2,,30 min,12,46,46,0,35
20220609,2,,30 min,15,46,46,0,28
20220609,2,,30 min,17,46,46,0,32
20220609,2,,30 min,18,46,46,0,35
20220609,2,,30 min,19,45,47,2,41
20220609,2,,30 min,21,46,46,0,32
20220609,2,,30 min,23,47,45,2,34
20220609,2,,30 min,24,46,46,0,26
20220609,2,,30 min,25,46,46,0,30
20220609,2,,30 min,26,46,46,0,32
20220609,2,,30 min,27,46,46,0,39
20220609,2,,30 min,30,46,46,0,36
20220609,2,,30 min,30-top,46,46,0,
20220609,2,,30 min,31,46,46,0,26
20220609,2,,30 min,32,46,46,0,34
20220609,2,,30 min,33,46,46,0,40
20220609,2,,30 min,36,46,46,0,38
20220609,2,,30 min,38,46,46,0,33
20220609,2,,30 min,39,46,46,0,30
20220609,2,,30 min,41,46,46,0,29
20220609,2,,30 min,42,47,45,2,28
20220609,2,,30 min,43,46,46,0,34
20220609,3,,25 min,1,47,45,2,
20220609,3,,25 min,2,prob cant,,#VALUE!,
20220609,3,,25 min,3,38,54,16,
20220609,3,,25 min,6,45,47,2,
20220609,3,,25 min,7,46,46,0,
20220609,3,,25 min,8,46,46,0,
20220609,3,,25 min,11,45,47,2,
20220609,3,,25 min,14,46,46,0,
20220609,3,,25 min,15,45,47,2,
20220609,3,,25 min,16,45,47,2,
20220609,3,,25 min,18,45,47,2,
20220609,3,,25 min,18-right,46,46,0,
20220609,3,,25 min,19,46,46,0,
20220609,3,,25 min,22,46,46,0,
20220609,3,,25 min,24,47,45,2,
20220609,3,,25 min,25,46,46,0,
20220609,3,,25 min,26,46,46,0,
20220609,3,,25 min,27,46,46,0,
20220609,3,,25 min,28,46,46,0,
20220609,3,,25 min,30,46,46,0,
20220609,3,,25 min,31,46,46,0,
20220609,3,,25 min,36,47,45,2,
20220609,3,,25 min,37,46,46,0,
20220609,3,,25 min,38,44,48,4,
20220609,3,,25 min,39,46,46,0,
20220609,3,,25 min,41,46,46,0,
20220609,3,,25 min,43,46,46,0,
20220609,3,,25 min,44,45,47,2,
20220822,1,,no Mps1i,0,46,46,0,48
20220822,1,,no Mps1i,1,46,46,0,32
20220822,1,,no Mps1i,3,46,46,0,36
20220822,1,,no Mps1i,4,46,46,0,32
20220822,1,,no Mps1i,5,46,46,0,37
20220822,1,,no Mps1i,6,46,46,0,27
20220822,1,,no Mps1i,7,can't analyze,,#VALUE!,43
20220822,1,,no Mps1i,9,can't analyze,,#VALUE!,38
20220822,1,,no Mps1i,10,46,46,0,29
20220822,1,,no Mps1i,11,46,46,0,50
20220822,1,,no Mps1i,12,46,46,0,31
20220822,1,,no Mps1i,13,can't analyze,,#VALUE!,31
20220822,1,,no Mps1i,14,46,46,0,35
20220822,1,,no Mps1i,15,46,46,0,32
20220822,1,,no Mps1i,18,can't analyze,,#VALUE!,34
20220822,1,,no Mps1i,18-left,can't analyze,,#VALUE!,39
20220822,1,,no Mps1i,19,46,46,0,35
20220822,1,,no Mps1i,20,46,46,0,42
20220822,1,,no Mps1i,21,46,46,0,30
20220822,1,,no Mps1i,23,45,47,2,49
20220822,1,,no Mps1i,26,46,46,0,31
20220822,1,,no Mps1i,27,46,46,0,38
20220822,1,,no Mps1i,28,46,46,0,25
20220822,1,,no Mps1i,30,46,46,0,31
20220822,1,,no Mps1i,36,46,46,0,28
20220822,1,,no Mps1i,37,46,46,0,72
20220822,1,,no Mps1i,38,46,46,0,39
20220822,1,,no Mps1i,43,46,46,0,30
20220822,1,,no Mps1i,44,46,46,0,34
20220731,2,,no Mps1i,3,no stack,,,43
20220731,2,,no Mps1i,6,no stack,,,37
20220731,2,,no Mps1i,7,no stack,,,41
20220731,2,,no Mps1i,8,no stack,,,49
20220731,2,,no Mps1i,9,no stack,,,40
20220731,2,,no Mps1i,11,no stack,,,37
20220731,2,,no Mps1i,13,no stack,,,31
20220731,2,,no Mps1i,14,no stack,,,34
20220731,2,,no Mps1i,16,no stack,,,36
20220731,2,,no Mps1i,17,no stack,,,31
20220731,2,,no Mps1i,19,no stack,,,28
20220731,2,,no Mps1i,20,no stack,,,54
20220731,2,,no Mps1i,21,no stack,,,48
20220731,2,,no Mps1i,22,no stack,,,35
20220731,2,,no Mps1i,23,no stack,,,35
20220731,2,,no Mps1i,24,no stack,,,49
20220731,2,,no Mps1i,25,no stack,,,37
20220731,2,,no Mps1i,26,no stack,,,29
20220731,2,,no Mps1i,28,no stack,,,44
20220731,2,,no Mps1i,29,no stack,,,44
20220731,2,,no Mps1i,30,no stack,,,41
20220731,2,,no Mps1i,31,no stack,,,43
20220731,2,,no Mps1i,32,no stack,,,37
20220731,2,,no Mps1i,33,no stack,,,28
20220731,2,,no Mps1i,35,no stack,,,48
20220731,2,,no Mps1i,36,no stack,,,44
20220731,2,,no Mps1i,39,no stack,,,60
20220731,2,,no Mps1i,40,no stack,,,29
20220731,2,,no Mps1i,41,no stack,,,31
20220731,2,,no Mps1i,42,no stack,,,47
20220731,2,,no Mps1i,43,no stack,,,27
20220731,2,,no Mps1i,44,no stack,,,33