Date,Sample,AZ addition time (min),Position,N1,N2,dNk,anaphase onset time
20231106,3,no Mps1i,2,43,49,6,10
20231106,3,no Mps1i,3,50,42,8,11
20231106,3,no Mps1i,6,46,46,0,25
20231106,3,no Mps1i,9,50,42,8,14
20231106,3,no Mps1i,10,40,52,12,9
20231106,3,no Mps1i,12,46,46,0,40
20231106,4,no Mps1i,1,46,46,0,40
20231106,4,no Mps1i,3,49,43,6,13
20231106,4,no Mps1i,5,46,46,0,25
20231106,4,no Mps1i,6,43,49,6,16
20231106,4,no Mps1i,8,37,55,18,11
20231106,4,no Mps1i,9,42,50,8,11
20231106,4,no Mps1i,15,42,50,8,14
20231106,4,no Mps1i,18,46,46,0,24
20231106,5,no Mps1i,3,42,50,8,20
20231106,5,no Mps1i,7,46,46,0,39
20231106,5,no Mps1i,14,47,45,2,13
20231106,5,no Mps1i,15,49,43,6,13
20231109,2,no Mps1i,2,46,46,0,20
20231109,2,no Mps1i,4,48,44,4,20
20231109,2,no Mps1i,5,46,46,0,18
20231109,2,no Mps1i,6,46,46,0,32
20231109,2,no Mps1i,9,46,46,0,22
20231109,2,no Mps1i,10,46,46,0,38
20231109,2,no Mps1i,11,46,46,0,19
20231109,2,no Mps1i,12,46,46,0,27
20231109,2,no Mps1i,13,46,46,0,32
20231109,2,no Mps1i,14,46,46,0,20
20231109,2,no Mps1i,16,44,48,4,14
20231109,2,no Mps1i,18,45,47,2,16
20231109,2,no Mps1i,19,can't analyze,,#VALUE!,26
20231109,2,no Mps1i,20,46,46,0,25
20231109,2,no Mps1i,21,46,46,0,32
20231109,2,no Mps1i,22,can't analyze,,#VALUE!,18
20231109,2,no Mps1i,23,can't analyze,,#VALUE!,14
20231109,2,no Mps1i,23-bot,can't analyze,,#VALUE!,34
20231109,3,no Mps1i,0,43,49,6,13
20231109,3,no Mps1i,1,46,46,0,11
20231109,3,no Mps1i,3,46,46,0,32
20231109,3,no Mps1i,4,can't analyze,,#VALUE!,31
20231109,3,no Mps1i,5,46,46,0,22
20231109,3,no Mps1i,6,46,46,0,33
20231109,3,no Mps1i,7,50,42,8,16
20231109,3,no Mps1i,8,can't analyze,,#VALUE!,29
20231109,3,no Mps1i,9,44,48,4,17
20231109,3,no Mps1i,10,46,46,0,33
20231109,3,no Mps1i,11,48,44,4,23
20231109,3,no Mps1i,12,46,46,0,30
20231109,3,no Mps1i,13,48,44,4,12
20231109,3,no Mps1i,14,46,46,0,26
20231109,3,no Mps1i,15,46,46,0,24
20231109,3,no Mps1i,17,45,47,2,20
20231109,3,no Mps1i,18,42,50,8,13
20231109,3,no Mps1i,19,46,46,0,37
20231109,3,no Mps1i,20,46,46,0,27
20231109,3,no Mps1i,21,46,46,0,28
20231109,3,no Mps1i,22,45,47,2,16
20231109,3,no Mps1i,23,46,46,0,29
20231109,3,no Mps1i,24,45,47,2,22
20231109,4,no Mps1i,0,can't analyze,,#VALUE!,22
20231109,4,no Mps1i,3,46,46,0,31
20231109,4,no Mps1i,4,46,46,0,25
20231109,4,no Mps1i,7,68,24,44,9
20231109,4,no Mps1i,8,47,45,2,20
20231109,4,no Mps1i,10,47,45,2,13
20231109,4,no Mps1i,11,46,46,0,27
20231109,4,no Mps1i,13,46,46,0,24
20231109,4,no Mps1i,14,46,46,0,21
20231109,4,no Mps1i,15,48,44,4,15
20231109,4,no Mps1i,20,46,46,0,21
20231109,4,no Mps1i,21,40,52,12,14
20231109,4,no Mps1i,22,43,49,6,9
20231109,4,no Mps1i,24,can't analyze,,#VALUE!,27
20231109,5,no Mps1i,1,52,30,22,27
20231109,5,no Mps1i,4,47,45,2,14
20231109,5,no Mps1i,5,can't analyze,,#VALUE!,30
20231109,5,no Mps1i,8,46,46,0,43
20231109,5,no Mps1i,9,46,46,0,26
20231109,5,no Mps1i,10,48,44,4,12
20231109,5,no Mps1i,11,can't analyze,,#VALUE!,23
20231109,5,no Mps1i,12,46,46,0,23
20231109,5,no Mps1i,13,46,46,0,27
20231109,5,no Mps1i,15,46,46,0,31
20231109,5,no Mps1i,16,can't analyze,,#VALUE!,11
20231109,5,no Mps1i,19,46,46,0,27
20231109,5,no Mps1i,20,51,41,10,15
20231109,5,no Mps1i,21,47,45,2,24
20231109,5,no Mps1i,22,81,11,70,10
20231109,5,no Mps1i,23,54,38,16,21